OBJECTID,API,WellName,ZoneStatus,YearDrilled,DateSpud,CompletedDate,ProducingL,ProposedGI,FirstProdD,WellboreSt,SpudReleas,Operator,FieldName,FormationN,Elevation,TD,MD,HasIP,BEG_Core,BEG_Logs,HasCoreRep,HasLogs,HasMudLog,HasResisti,HasPorosit,HasSonic,HasDipMete,HasGammaRa,HasGR_SP,HasDirecti,HasDrillin,HasComplet,HasW1,HasW2,HasHz,IPBBLOil,IPMCFGas,IPBBLWater,PerfTop,PerfBottom,Tops,WebDetailL,CoreReport,LogsLink,Directiona,DrillingLi,Completion,W1Link,DateEffect,W2Link,Cumulative,Cumulati_1,County,BlockNbr,SectionNbr,Direction,Latitude,Longitude
8920,4200341612,"UNIVERSITY ""QB"" - 2",Producing,2010,5/25/2010,9/8/2010,,,9/8/2010,OIL,,CONOCOPHILLIPS COMPANY,EMBAR,DEVONIAN,3195,10000,,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,411,801,539,9230,9815,,http://utlands.utsystem.edu/API/4200341612,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41612/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341612/292469,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341612/278373,4/15/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341612/288326,64958,249851,Andrews,10,33,2250  FSL & 1850 FWL,32.122646331787100,-102.685264587402000
8921,4200341613,UL DIGGER - 410,Plugged and Abandoned,2010,6/10/2010,8/8/2010,,,8/8/2010,PAO,,DIAMONDBACK E&P LLC,TREND AREA,SPRABERRY,3073,10900,,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,41,0,234,9110,10500,,http://utlands.utsystem.edu/API/4200341613,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41613/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341613/362310,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341613/278715,4/15/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341613/294489,33967,51037,Andrews,02,04,2460  FSL & 2150 FEL,32.242618560791000,-102.434394836425000
8922,4200341613,UL DIGGER - 410,Plugged and Abandoned,2010,6/10/2010,8/8/2010,,,00000000,PAO,,DIAMONDBACK E&P LLC,"LOWE, WEST",STRAWN,3073,10900,,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,,,,9110,10500,,http://utlands.utsystem.edu/API/4200341613,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41613/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341613/362310,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341613/278715,4/15/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341613/294489,33967,51037,Andrews,02,04,2460  FSL & 2150 FEL,32.242618560791000,-102.434394836425000
8923,4200341627,"ANDREWS UNIVERSITY ""37"" - 4",Producing,2010,5/8/2010,7/9/2010,,,7/9/2010,OIL,,THRONE PETROLEUM RESOURCES LLC,TREND AREA,SPRABERRY,3048,11415,,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,46,35,241,7420,10927,,http://utlands.utsystem.edu/API/4200341627,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41627/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341627/300748,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341627/278427,4/23/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341627/300006,22975,49038,Andrews,04,37,467  FNL & 1980 FWL,32.408157348632800,-102.402336120605000
8924,4200341627,"ANDREWS UNIVERSITY ""37"" - 4",Downhole Commingle,2010,5/8/2010,7/9/2010,,,00000000,OIL,,THRONE PETROLEUM RESOURCES LLC,MAGUTEX,STRAWN,3048,11415,,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,,,,10928,11086,,http://utlands.utsystem.edu/API/4200341627,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41627/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341627/300748,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341627/278427,4/23/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341627/300006,22975,49038,Andrews,04,37,467  FNL & 1980 FWL,32.408157348632800,-102.402336120605000
8925,4200341633,"UNIVERSITY ""13-46"" - 23",Producing,2010,5/31/2010,6/29/2010,,,6/29/2010,OIL,,"AVALON TX OPERATING, LLC",FUHRMAN-MASCHO,,3243,4880,,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,36,6,204,4458,4780,,http://utlands.utsystem.edu/API/4200341633,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41633/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341633/286656,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341633/278755,4/23/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341633/298769,8767,3266,Andrews,13,46,1815  FSL & 2310 FEL,32.322189331054600,-102.732795715332000
8926,4200341634,SOUTH FUHRMAN MASCHO UNIT - 598,Producing,2010,5/30/2010,6/29/2010,,,6/29/2010,OIL,,"SHERIDAN PRODUCTION COMPANY, LLC",FUHRMAN-MASCHO,,3247,4805,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,89,85,165,4338,4576,,http://utlands.utsystem.edu/API/4200341634,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41634/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341634/292474,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341634/279290,4/30/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341634/288354,5867,6832,Andrews,10,05,1536  FSL & 2034 FEL,32.188880920410100,-102.719688415527000
8927,4200341649,SOUTH FUHRMAN MASCHO UNIT - 1677,Producing,2010,6/10/2010,7/1/2010,,,7/1/2010,OIL,,"SHERIDAN PRODUCTION COMPANY, LLC",FUHRMAN-MASCHO,,3236,4760,,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,64,52,180,4309,4638,,http://utlands.utsystem.edu/API/4200341649,,ftp://publicftp.utlands.utsystem.eduConfidentialLogs/003_Andrews/41649/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341649/302989,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341649/279385,5/12/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341649/302619,8871,10337,Andrews,10,16,1155  FNL & 1649 FWL,32.170120239257800,-102.701271057128000
8928,4200341651,UNIVERSITY BLOCK 9 - 8A,Producing,2010,6/16/2010,9/29/2010,,,9/29/2010,OIL,,XTO ENERGY INC.,UNIVERSITY BLOCK 9,DEVONIAN,3173,10650,,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,30,18,23,,,,http://utlands.utsystem.edu/API/4200341651,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341651/313858,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341651/314687,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341651/301915,2/17/2011,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341651/313861,70759,129714,Andrews,09,11,2458  FSL & 2300 FWL,32.211494445800700,-102.568946838378000
8929,4200341651,UNIVERSITY BLOCK 9 - 8A,Producing,2011,4/8/2011,6/28/2011,2889,2889,6/28/2011,OIL,,XTO ENERGY INC.,UNIVERSITY BLOCK 9,DEVONIAN,3173,10650,13324,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,240,96,48,10435,13324,,http://utlands.utsystem.edu/API/4200341651,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341651/313858,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341651/314687,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341651/301915,2/17/2011,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341651/313861,70759,129714,Andrews,09,11,2458  FSL & 2300 FWL,32.211494445800700,-102.568946838378000
8930,4200341652,SAINT ANDREWS UNIT - 302,Producing,2010,5/13/2010,6/30/2010,,,6/30/2010,OIL,,OXY USA INC.,SAINT WILMA,STRAWN,3074,11193,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,152,72,171,9312,11050,,http://utlands.utsystem.edu/API/4200341652,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41652/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341652/294690,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341652/278757,4/30/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341652/283567,139002,99107,Andrews,03,03,1980  FNL & 1980 FWL,32.382530212402300,-102.429656982421000
8931,4200341654,SOUTH FUHRMAN MASCHO UNIT - 898,Producing,2010,6/4/2010,7/13/2010,,,7/13/2010,OIL,,"SHERIDAN PRODUCTION COMPANY, LLC",FUHRMAN-MASCHO,,3250,4852,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,102,81,171,4335,4624,,http://utlands.utsystem.edu/API/4200341654,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41654/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341654/299106,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341654/279309,5/5/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341654/295559,16781,19693,Andrews,10,08,2367  FNL & 2373 FEL,32.178539276123000,-102.717231750488000
8932,4200341656,SAINT ANDREWS UNIT - 1202,Producing,2010,6/3/2010,8/20/2010,,,9/21/2010,OIL,,OXY USA INC.,SAINT WILMA,STRAWN,3031,11180,,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,110,139,54,7630,11049,,http://utlands.utsystem.edu/API/4200341656,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41656/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341656/291921,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341656/278956,4/30/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341656/288816,61152,32928,Andrews,03,12,1980  FSL & 1980 FEL,32.373573303222600,-102.386863708496000
8933,4200341657,"ANDREWS UNIVERSITY ""10"" - 5",Plugged and Abandoned,2010,6/9/2010,8/25/2010,,,8/25/2010,PAO,,"WILLIAMS, CLAYTON ENERGY, INC.",TREND AREA,SPRABERRY,3010,11510,,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,26,37,317,7156,10249,,http://utlands.utsystem.edu/API/4200341657,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41657/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341657/302981,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341657/279017,5/3/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341657/302326,3595,11292,Andrews,05,10,1980  FSL & 1980 FEL,32.486968994140600,-102.351333618164000
8934,4200341657,"ANDREWS UNIVERSITY ""10"" - 5",Plugged and Abandoned,2010,6/9/2010,8/25/2010,,,00000000,PAO,,"WILLIAMS, CLAYTON ENERGY, INC.",MAGUTEX,STRAWN,3010,11510,,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,,,,11092,11224,,http://utlands.utsystem.edu/API/4200341657,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41657/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341657/302981,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341657/279017,5/3/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341657/302326,3595,11292,Andrews,05,10,1980  FSL & 1980 FEL,32.486968994140600,-102.351333618164000
8935,4200341658,"UNIVERSITY ""11A"" - 7",Producing,2010,6/3/2010,8/6/2010,,,8/6/2010,OIL,,"DISCOVERY OPERATING, INC.",MARTIN,CONSOLIDATED,3317,7705,,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,92,88,120,7429,7554,,http://utlands.utsystem.edu/API/4200341658,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41658/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341658/286653,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341658/279818,5/6/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341658/286670,29823,37514,Andrews,11,10,2173  FNL & 330 FEL,32.164192199707000,-102.778694152832000
8936,4200341663,SOUTH FUHRMAN MASCHO UNIT - 589,Producing,2010,6/9/2010,7/8/2010,,,7/8/2010,OIL,,"SHERIDAN PRODUCTION COMPANY, LLC",FUHRMAN-MASCHO,,3251,4732,,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,37,40,202,4346,4649,,http://utlands.utsystem.edu/API/4200341663,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41663/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341663/292475,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341663/279821,5/14/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341663/288353,,,Andrews,10,05,1636  FSL & 2823 FEL,32.188488006591700,-102.721916198730000
8937,4200341665,"UNIVERSITY ""11"" - 8",Producing,2010,6/20/2010,8/12/2010,,,8/12/2010,OIL,,"DISCOVERY OPERATING, INC.",MARTIN,CONSOLIDATED,3316,7708,,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,50,65,86,7420,7557,,http://utlands.utsystem.edu/API/4200341665,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41665/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341665/284496,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341665/279819,5/7/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341665/286667,13827,26383,Andrews,11,10,2173  FSL & 330 FEL,32.161346435546800,-102.777770996093000
8938,4200341666,BLOCK 10 FUHRMAN MASCHO UNIT - 902,Producing,2010,5/28/2010,6/26/2010,,,6/26/2010,OIL,,"SABINAL ENERGY OPERATING, LLC",FUHRMAN-MASCHO,,3230,4892,,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,104,0,234,4299,4533,,http://utlands.utsystem.edu/API/4200341666,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41666/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341666/285840,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341666/279835,5/10/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341666/283437,11459,8204,Andrews,10,09,1335  FNL & 1218 FEL,32.185905456542900,-102.697807312011000
8939,4200341667,STATE RUBY GRACE - 1,Plugged and Abandoned,2010,9/12/2010,9/15/2010,,,00000000,DA,,"EXL PETROLEUM, LP",SAINT WILMA,STRAWN,3055,1898,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200341667,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341667/287027,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341667/279011,3/4/2010,,,,Andrews,04,38,1980  FNL & 1980 FWL,32.400337219238200,-102.417610168457000
8940,4200341668,UL DIGGER - 614,Producing,2010,7/9/2010,10/11/2010,,,10/11/2010,OIL,,DIAMONDBACK E&P LLC,TREND AREA,SPRABERRY,3053,10900,,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,66,0,179,7978,8258,,http://utlands.utsystem.edu/API/4200341668,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41668/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/362311,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/279284,5/4/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/363208,80217,118919,Andrews,02,06,557  FSL & 1447 FWL,32.243934631347600,-102.405006408691000
8941,4200341668,UL DIGGER - 614,Producing,2010,7/9/2010,10/11/2010,,,10/11/2010,OIL,,DIAMONDBACK E&P LLC,TREND AREA,SPRABERRY,3053,10900,,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,66,0,179,8810,10749,,http://utlands.utsystem.edu/API/4200341668,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41668/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/362311,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/279284,5/4/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/363208,80217,118919,Andrews,02,06,557  FSL & 1447 FWL,32.243934631347600,-102.405006408691000
8942,4200341668,UL DIGGER - 614,Downhole Commingle,2010,7/9/2010,10/11/2010,,,00000000,OIL,,DIAMONDBACK E&P LLC,"LOWE, WEST",STRAWN,3053,10900,,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,,,,10750,10810,,http://utlands.utsystem.edu/API/4200341668,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41668/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/362311,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/279284,5/4/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341668/363208,80217,118919,Andrews,02,06,557  FSL & 1447 FWL,32.243934631347600,-102.405006408691000
8943,4200341669,"UL ""11"" - 3",Producing,2010,6/10/2010,8/21/2010,,,8/21/2010,OIL,,DIAMONDBACK E&P LLC,TREND AREA,SPRABERRY,3101,10900,,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,19,0,110,10050,10710,,http://utlands.utsystem.edu/API/4200341669,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41669/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341669/362591,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341669/279280,5/4/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341669/362479,6464,7886,Andrews,01,11,467  FNL & 2310 FWL,32.240974426269500,-102.472114562988000
8944,4200341669,"UL ""11"" - 3",Producing,2010,6/10/2010,8/21/2010,,,8/21/2010,OIL,,DIAMONDBACK E&P LLC,TREND AREA,SPRABERRY,3101,10900,,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,19,0,110,7516,7728,,http://utlands.utsystem.edu/API/4200341669,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41669/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341669/362591,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341669/279280,5/4/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341669/362479,6464,7886,Andrews,01,11,467  FNL & 2310 FWL,32.240974426269500,-102.472114562988000
8945,4200341670,BLOCK 10 FUHRMAN MASCHO UNIT - 903,Producing,2010,7/30/2010,9/15/2010,,,9/15/2010,OIL,,"SABINAL ENERGY OPERATING, LLC",FUHRMAN-MASCHO,,3234,4884,,Y,N,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,195,0,416,4335,4570,,http://utlands.utsystem.edu/API/4200341670,,ftp://publicftp.utlands.utsystem.eduScannedLogs/003_Andrews/41670/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341670/279832,5/10/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341670/287753,9332,6497,Andrews,10,09,117  FNL & 1717 FWL,32.187286376953100,-102.706596374511000
8946,4200341671,BLOCK 10 FUHRMAN MASCHO UNIT - 901,Producing,2010,8/4/2010,9/21/2010,,,9/21/2010,OIL,,"SABINAL ENERGY OPERATING, LLC",FUHRMAN-MASCHO,,3238,4867,,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,71,0,256,4290,4585,,http://utlands.utsystem.edu/API/4200341671,,ftp://publicftp.utlands.utsystem.eduScannedLogs/003_Andrews/41671/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341671/279834,5/10/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341671/288826,9332,6497,Andrews,10,09,1279  FNL & 668 FWL,32.183425903320300,-102.708862304687000
8947,4200341672,BLOCK 10 FUHRMAN MASCHO UNIT - 308,Producing,2010,5/18/2010,7/3/2010,,,7/3/2010,OIL,,"SABINAL ENERGY OPERATING, LLC",FUHRMAN-MASCHO,,3218,4848,,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,54,0,469,4475,4540,,http://utlands.utsystem.edu/API/4200341672,,ftp://publicftp.utlands.utsystem.eduScannedLogs/003_Andrews/41672/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341672/316786,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341672/279833,5/10/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341672/283352,53145,42010,Andrews,10,03,1213  FSL & 639 FEL,32.197113037109300,-102.681312561035000
8948,4200341679,BLOCK 10 FUHRMAN MASCHO UNIT - 1001,Producing,2010,5/28/2010,7/9/2010,,,7/9/2010,OIL,,"SABINAL ENERGY OPERATING, LLC",FUHRMAN-MASCHO,,3223,4886,,Y,N,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,Y,N,40,0,388,4432,4545,,http://utlands.utsystem.edu/API/4200341679,,ftp://publicftp.utlands.utsystem.eduConfidentialLogs/003_Andrews/41679/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341679/316750,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341679/279831,5/10/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341679/286687,18562,14672,Andrews,10,10,148  FNL & 477 FWL,32.190307617187500,-102.693550109863000
8949,4200341680,"UNIVERSITY ""6-33' - 1",Shut In,2010,8/15/2010,1/12/2011,,,1/12/2011,SIO,,DIAMONDBACK E&P LLC,TREND AREA,SPRABERRY,3002,11304,,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,Y,N,48,13,137,7830,11030,,http://utlands.utsystem.edu/API/4200341680,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41680/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341680/299268,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341680/279891,5/11/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341680/394696,21949,28010,Andrews,06,33,529  FSL & 505 FWL,32.458084106445300,-102.262451171875000
8950,4200341681,"UNIVERSITY ""6-46"" - 1",Shut In,2010,6/7/2010,8/25/2010,,,8/25/2010,SIO,,DIAMONDBACK E&P LLC,TREND AREA,SPRABERRY,2955,11300,,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,Y,N,66,58,68,7735,10866,,http://utlands.utsystem.edu/API/4200341681,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41681/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341681/293889,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341681/279916,5/11/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341681/412836,38337,54329,Andrews,06,46,1351  FNL & 1478 FWL,32.443553924560500,-102.236846923828000
8951,4200341682,"UNIVERSITY ""6-13"" - 1",Producing,2010,7/12/2010,8/17/2010,,,8/17/2010,OIL,,DIAMONDBACK E&P LLC,TREND AREA,SPRABERRY,2966,10988,,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,Y,N,21,38,16,7270,10820,,http://utlands.utsystem.edu/API/4200341682,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41682/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341682/299093,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341682/279844,5/11/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341682/294590,36849,48217,Andrews,06,13,467  FSL & 467 FEL,32.514354705810500,-102.212669372558000
8952,4200341684,"ANDREWS UNIVERSITY ""15"" - 3",Plugged and Abandoned,2010,6/27/2010,9/7/2010,,,9/7/2010,PAO,,"WILLIAMS, CLAYTON ENERGY, INC.",TREND AREA,SPRABERRY,3005,11450,,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,26,14,166,7217,11254,,http://utlands.utsystem.edu/API/4200341684,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41684/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341684/294691,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341684/279543,5/11/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341684/288338,2418,15479,Andrews,05,15,1980  FNL & 467 FEL,32.477550506591700,-102.343246459960000
8953,4200341685,"ANDREWS UNIVERSITY ""31"" - 1",Producing,2010,7/26/2010,10/27/2010,,,10/27/2010,OIL,,THRONE PETROLEUM RESOURCES LLC,TREND AREA,SPRABERRY,3046,11430,,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,53,20,214,7371,11074,,http://utlands.utsystem.edu/API/4200341685,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41685/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341685/294692,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341685/279541,5/11/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341685/293104,48396,154777,Andrews,05,31,467  FNL & 660 FWL,32.425010681152300,-102.394424438476000
8954,4200341686,"ANDREWS UNIVERSITY ""36"" - 1",Producing,2010,8/10/2010,11/2/2010,,,11/2/2010,OIL,,THRONE PETROLEUM RESOURCES LLC,TREND AREA,SPRABERRY,3044,11253,,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,39,24,312,7615,10810,,http://utlands.utsystem.edu/API/4200341686,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/41686/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341686/306342,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341686/279542,5/11/2010,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200341686/292911,7922,35769,Andrews,04,36,660  FNL & 2173 FEL,32.422462463378900,-102.403121948242000
